fonts-filesystem 2.0.5
stoken-libs 0.92
editorconfig-libs 0.12.6
sqlite 3.42.0
libss 1.47.0
e2fsprogs 1.47.0
libcdr 0.1.7
libfreehand 0.1.2
libabw 0.1.3
libepubgen 0.1.1
libmspub 0.1.4
libpagemaker 0.0.4
libqxp 0.0.2
libvisio 0.1.7
libzmf 0.0.2
exempi 2.6.4
libmetalink 0.1.3
boost-iostreams 1.81.0
bzip2 1.0.8
isomd5sum 1.2.3
zvbi 0.2.35
djvulibre-libs 3.5.28
jasper-libs 3.0.6
boost-regex 1.81.0
source-highlight 3.1.9
game-music-emu 0.6.3
libmysofa 1.2.1
pigz 2.8
protobuf 3.19.6
taglib 1.12
tcl 8.6.12
texlive-lib 20230311
Box2D 2.4.1
abseil-cpp 20230802.1
boost-atomic 1.81.0
boost-filesystem 1.81.0
liborcus 0.18.1
fmt 10.0.0
highway 1.0.7
ilbc 3.0.4
ladspa 1.13
libconfig 1.7.3
liblerc 4.0.0
libtiff 4.4.0
leptonica 1.83.1
libmodplug 0.8.9.0
libnumbertext 1.0.11
soundtouch 2.3.1
uchardet 0.0.8
vamp-plugin-sdk 2.9.0
zxing-cpp 2.0.0
hostname 3.23
jemalloc 5.3.0
lksctp-tools 1.0.19
xdg-user-dirs 0.18
memstrack 0.2.5
ncurses 6.4
boost-date-time 1.81.0
capstone 4.0.2
cdparanoia-libs 10.2
checkpolicy 3.5
cjson 1.7.15
dosfstools 4.2
fstrm 0.6.1
gettext-envsubst 0.22
gettext-runtime 0.22
iniparser 4.1
liba52 0.7.4
libargon2 20190702
libasyncns 0.8
pulseaudio-libs 16.1
flite 2.2
libao 1.2.0
pcaudiolib 1.1
libblkio 1.3.0
libcue 2.2.1
libdatrie 0.2.13
libthai 0.1.29
libeot 0.01
libev 4.33
libverto-libev 0.3.2
libexttextcat 3.4.6
libfdt 1.7.0
libgdither 0.6
gavl 1.4.0
libhangul 0.1.0
libijs 0.35
libipt 2.0.6
libiptcdata 1.0.5
libldac 2.0.2.3
libmd 1.1.0
libbsd 0.11.7
libmpeg2 0.5.1
libmspack 0.10.1
libndp 1.8
libnfnetlink 1.0.1
libnetfilter_conntrack 1.0.9
iptables-libs 1.8.9
nftables 1.0.7
iproute-tc 6.4.0
libnfs 5.0.2
libpaper 2.1.1
libpath_utils 0.2.1
libini_config 1.3.1
libpipeline 1.5.7
libpkgconf 1.9.5
pkgconf 1.9.5
pkgconf-pkg-config 1.9.5
fwupd-efi 1.4
libsbc 2.0
libsigsegv 2.14
libtommath 1.2.0
libtomcrypt 1.18.2
libudfread 1.1.2
libusal 1.1.11
libvisual 0.4.1
libwmf-lite 0.2.13
libxcvt 0.1.2
lm_sensors-libs 3.6.0
libglvnd-egl 1.7.0
libglvnd-gles 1.7.0
lpcnetfreedv 0.5
codec2 1.2.0
lpsolve 5.5.2.11
librist 0.2.7
mpdecimal 2.5.1
netpbm 11.02.00
jq 1.6
openpgm 5.2.122
pcre 8.45
sord 0.16.14
sratom 0.6.14
lilv-libs 0.24.20
pcre2-utf32 10.42
sg3_utils-libs 1.46
sshpass 1.09
vo-amrwbenc 0.1.3
wavpack 5.6.0
xvidcore 1.3.7
langpacks-core-en 4.0
mailcap 2.1.54
lv2 1.18.8
rubberband 3.3.0
liblangtag-data 0.6.4
liblangtag 0.6.4
libetonyek 0.1.11~20230802.git9c3a8cb
libe-book 0.1.3
libX11-common 1.8.7
libX11 1.8.7
libXext 1.3.5
libXfixes 6.0.0
libXi 1.8.1
libXdamage 1.1.5
libXcomposite 0.4.5
libXinerama 1.1.5
libXrender 0.9.11
libXtst 1.2.4
libxkbfile 1.1.1
libXcursor 1.2.1
libXt 1.2.1
libXmu 1.1.4
xhost 1.0.9
setxkbmap 1.3.4
xrdb 1.2.2
xkbcomp 1.4.6
libXv 1.0.11
startup-notification 0.12
xmodmap 1.0.11
libXvMC 1.0.13
xorg-x11-xauth 1.1.2
xisxwayland 2
libXScrnSaver 1.2.3
libXres 1.2.1
libXxf86vm 1.1.5
libglvnd-glx 1.7.0
glx-utils 9.0.0
intel-mediasdk 23.2.2
libvdpau 1.5
dbus-x11 1.14.10
xprop 1.2.5
kbd-misc 2.6.3
kbd-legacy 2.6.3
